id,name,description,how_to_earn,category,type,rarity,stat_key,threshold,threshold_type,requires_verification,icon,icon_url,color_primary,color_secondary,color_glow,banner_gradient,sport,is_active,display_order,created_at,frame_url,glow_url,unlock_effect_url,xp_reward,target_role,min_level,stacks_into,flavor_text,cadence,badge_image_url,chain_id,chain_position,tier,tier0_image_url,engagement_category
20ed5463-bbb6-4508-add6-6ed079a32e6f,Kill Streak III,They can't stop you,Get 50 kills in a season,Offensive,badge,rare,total_kills,50,season,false,💀,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_kill-streak-iii_rare.png,#F59E0B,#B45309,#FCD34D,,volleyball,true,12,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_silver.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/rare_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/spark_fire.png,100,player,6,Terminator,,Season,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_kill-streak-iii_rare.png,1,4,3,,stat
78ceb734-5595-4c72-93e9-811de18e78db,Terminator,Absolute offensive machine,Get 100 kills in a season,Offensive,badge,epic,total_kills,100,season,false,👑,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_terminator_epic.png,#EAB308,#A16207,#FDE047,,volleyball,true,13,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_gold.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/epic_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/spark_fire.png,200,player,10,Kill Record,,Season,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_terminator_epic.png,1,5,4,,stat
35a9a789-b373-456d-b738-3f9bf3a617d9,IRON PLAYER,Unbreakable dedication,Play in 30 games,heart,badge,epic,games_played,30,season,false,🦾,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/icons/iron_fortress.png,#F0ABFC,#E879F9,#FAE8FF,,volleyball,true,63,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_gold.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/epic_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/energy_heart.png,200,player,1,,,lifetime,,,0,1,,milestone
99fdf266-d75e-43b4-8bf9-37bde0e4855f,Distributor I,Your first assist,Record your first assist,Playmaker,badge,common,total_assists,1,career,false,🤝,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_distributor-i_common.png,#10B981,#059669,#6EE7B7,,volleyball,true,50,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_iron.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/common_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/spark_gold.png,25,player,1,Distributor II,,Lifetime,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_distributor-i_common.png,9,1,1,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/tier0/player_distributor-i-chain_tier0.png,stat
96d8f1c6-3ac9-4e7d-97e0-f9e8c27a526b,SCORING MACHINE,Dominant scorer,Score 200 points in a season,heart,badge,epic,total_points,200,season,false,🏆,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/icons/all_heart.png,#F9A8D4,#F472B6,#FCE7F3,,volleyball,true,72,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_gold.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/epic_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/energy_heart.png,200,player,1,,,lifetime,,,0,1,,milestone
ff2ab3fe-e438-4254-b929-2d9a1bc40d20,IRON FORTRESS,Impenetrable defense,Record 100 digs in a season,defensive,badge,epic,total_digs,100,season,false,🏰,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/icons/iron_fortress.png,#14B8A6,#0D9488,#5EEAD4,,volleyball,true,33,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_gold.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/epic_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/crystal_sapphire.png,200,player,1,,,lifetime,,,0,1,,milestone
e2d92ed3-ba08-4fd4-91fc-14368cd2cd80,PUPPET MASTER,Controlling the game,Record 50 assists in a season,playmaker,badge,rare,total_assists,50,season,false,🎭,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/badges/player/player_puppet-master_rare.png,#6EE7B7,#34D399,#D1FAE5,,volleyball,true,52,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_silver.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/rare_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/spark_gold.png,100,player,1,,,lifetime,,,0,1,,milestone
30f442ef-5d0a-44c2-911f-a2ea78f63f8f,NEVER QUIT,Always there for your team,Play in 20 games,heart,badge,rare,games_played,20,season,false,🔥,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/icons/never_quit.png,#E879F9,#D946EF,#F5D0FE,,volleyball,true,62,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_silver.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/rare_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/energy_heart.png,100,player,1,,,lifetime,,,0,1,,milestone
35aeabaa-d445-499a-8d0e-5101e004580a,DIG MACHINE,Defensive specialist,Record 50 digs in a season,defensive,badge,rare,total_digs,50,season,false,💪,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/icons/guardian.png,#06B6D4,#0891B2,#67E8F9,,volleyball,true,32,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/shields/shield_silver.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/rare_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/crystal_sapphire.png,100,player,1,,,lifetime,,,0,1,,milestone
898b58c0-a44d-48a4-b1e1-19b7cdfce498,INFERNO,Burn them all,Record 75 kills in a season,offensive,calling_card,rare,total_kills,75,season,false,🔥,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/icons/kill_shot.png,#DC2626,#991B1B,,"linear-gradient(135deg, #DC2626 0%, #EF4444 30%, #F97316 60%, #FBBF24 100%)",volleyball,true,101,2026-01-23T16:01:46.954969+00:00,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/calling-cards/banners/elemental_fire.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/auras/glow/rare_3.png,https://uqpjvbiuokwpldjvxiby.supabase.co/storage/v1/object/public/achievements/effects/unlock/spark_fire.png,100,player,1,,,lifetime,,,0,1,,milestone
